Recombinations
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 220, at = 21, to = 12)], startingpoint = 21, pathevaluation = 0.9999972021700048)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 104, at = 46, to = 45)], startingpoint = 46, pathevaluation = 0.9999999999659626)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 68, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 182, at = 71, to = 43)], startingpoint = 71, pathevaluation = 0.9999999997877727)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 92, at = 27, to = 65)], startingpoint = 27, pathevaluation = 0.9999999920433938)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 174, at = 70, to = 29)], startingpoint = 70, pathevaluation = 0.4999978166587846)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 78, at = 62, to = 55)], startingpoint = 62, pathevaluation = 0.9999974587046454)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 13, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 148, at = 34, to = 57)], startingpoint = 34, pathevaluation = 0.9999999999975105)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 154, at = 44, to = 31)], startingpoint = 44, pathevaluation = 0.5000000000731265)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 160, at = 1, to = 43)], startingpoint = 1, pathevaluation = 0.9999999999921759)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 123, at = 27, to = 12)], startingpoint = 27, pathevaluation = 0.9999999999972391)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 98, at = 66, to = 62)], startingpoint = 66, pathevaluation = 0.9999999243817581)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 98, at = 7, to = 14)], startingpoint = 7, pathevaluation = 0.9999999998309099)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 109, at = 50, to = 68)], startingpoint = 50, pathevaluation = 0.9999999974433859)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 115, at = 20, to = 62), (position = 98, at = 27, to = 20)], startingpoint = 27, pathevaluation = 0.9999998230816942)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 123, at = 24, to = 4)], startingpoint = 24, pathevaluation = 0.9999999999980304)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 154, at = 19, to = 17)], startingpoint = 19, pathevaluation = 0.9999999999918299)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 88, at = 70, to = 49)], startingpoint = 70, pathevaluation = 0.9999999843083682)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 111, at = 14, to = 50)], startingpoint = 14, pathevaluation = 0.9999999999944322)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 90, at = 28, to = 9)], startingpoint = 28, pathevaluation = 0.9999999999977793)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 71, at = 56, to = 22)], startingpoint = 56, pathevaluation = 0.9873376368459497)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 192, at = 64, to = 44)], startingpoint = 64, pathevaluation = 0.9998317126591374)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 46, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 204, at = 24, to = 31)], startingpoint = 24, pathevaluation = 0.19591583954389802)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 122, at = 27, to = 51)], startingpoint = 27, pathevaluation = 0.9999999999946599)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 93, at = 62, to = 31)], startingpoint = 62, pathevaluation = 0.49999999999965494)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 92, at = 20, to = 65)], startingpoint = 20, pathevaluation = 0.9999999946282473)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 173, at = 60, to = 15)], startingpoint = 60, pathevaluation = 0.9999999999464347)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 149, at = 21, to = 9)], startingpoint = 21, pathevaluation = 0.9999999999977819)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 73, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 67, at = 30, to = 43)], startingpoint = 30, pathevaluation = 0.4787689957733384)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 78, at = 55, to = 70)], startingpoint = 55, pathevaluation = 0.9999995452482555)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 146, at = 55, to = 25)], startingpoint = 55, pathevaluation = 0.999999999998836)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 170, at = 21, to = 65)], startingpoint = 21, pathevaluation = 0.9860261516614641)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 72, at = 23, to = 14)], startingpoint = 23, pathevaluation = 0.999999968717964)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 99, at = 42, to = 46)], startingpoint = 42, pathevaluation = 0.9999999588254959)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 107, at = 65, to = 18), (position = 96, at = 66, to = 65)], startingpoint = 66, pathevaluation = 0.9865961272273126)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 83, at = 27, to = 12)], startingpoint = 27, pathevaluation = 0.9999993391836299)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 126, at = 53, to = 14)], startingpoint = 53, pathevaluation = 0.9999999999972048)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 178, at = 31, to = 48)], startingpoint = 31, pathevaluation = 0.9999998317753861)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 109, at = 20, to = 17)], startingpoint = 20, pathevaluation = 0.9999999999997032)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 208, at = 53, to = 2)], startingpoint = 53, pathevaluation = 0.999999999225228)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 63, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 27, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 185, at = 52, to = 44)], startingpoint = 52, pathevaluation = 0.9875737566516921)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 153, at = 23, to = 24)], startingpoint = 23, pathevaluation = 0.999999999998473)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 161, at = 25, to = 2)], startingpoint = 25, pathevaluation = 0.9999999999985414)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 135, at = 15, to = 55)], startingpoint = 15, pathevaluation = 0.9999999999227684)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 98, at = 15, to = 2)], startingpoint = 15, pathevaluation = 0.9999759447846732)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 144, at = 21, to = 9)], startingpoint = 21, pathevaluation = 0.9999999999977773)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 118, at = 41, to = 37), (position = 95, at = 73, to = 41)], startingpoint = 73, pathevaluation = 0.9999999999538235)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 132, at = 68, to = 48)], startingpoint = 68, pathevaluation = 0.9999999999926961)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 92, at = 54, to = 63)], startingpoint = 54, pathevaluation = 0.9999429294493741)"
